,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent)
30,AL-SelSampling-LB-b0.25-,0.249430355,77.01356779,0,,,31.81284052,4.597378317,74.90088652,54.04051871,82.46087088,70.22029279,27.48839408,49.17795312,66.54474585,22.30531868,18.89747027,29.9950876,,,77.35580494,72.86648615,52.49746248,61.83112665,87.68963131,39.08138586,27.19073893,84.77060524,,,88.29428243,67.76911531,18.62928586,40.85570948,53.66511628,15.67893784,14.62057336,18.61538462,0,0,25.97386837,18.4729988,0.842626135,0.546669788,0.029746627,0.049048751,0.056762257,0.000832322,0.001230116,0
31,AL-FixedUncertainty-BOLE-b0.25-,0.110283514,54.9924843,0,,,16.34544501,8.867385048,49.90578883,11.25086069,40.85808832,57.30107663,15.41029115,20.15099209,21.26961914,6.53594364,6.651098215,,,,64.01395428,45.99460692,50.07870007,79.82258982,95.93689443,21.83402721,42.37077036,,,,32.85503194,77.30490888,9.406573341,12.04036258,12.15813953,7.555823778,3.979763912,8.153846154,0,0,20.34328881,67.10421388,0.488953099,0.097343715,0.003934739,0.624268921,0.011618147,0.000132689,7.24E-05,2.41E-05
32,AL-VarUncertainty-BOLE-b0.25-,0.250452665,76.54926556,0,,,33.57128472,4.575195371,74.43441337,53.93849082,81.44817978,70.40189845,39.92769907,51.49352659,74.20201351,28.7152543,19.62786664,21.63489061,,,79.16078334,70.75025847,47.09309197,74.21890766,95.90913415,45.14723404,36.19031008,88.72486208,,,83.88286172,70.07293979,34.73879083,39.42876689,60.58294574,21.08026554,13.51602024,12.41025641,0,0,22.20259866,21.20405201,1.952659575,0.295998324,0.010072932,0.051151359,0.034504206,0.00041013,0.000434159,7.24E-05
33,AL-RandVarUncertainty-BOLE-b0.25-,0.250452303,76.88328646,0,,,33.96202465,4.593742365,74.18739244,53.66119294,81.28833577,70.07344924,40.68035884,53.34762621,75.11320543,21.26423548,20.14657072,27.290398,,,79.30536827,70.42007019,45.70081202,71.725423,95.43195624,36.67277712,35.22636264,87.58238075,,,83.37511973,69.73332458,36.66615946,42.46850237,61.9379845,15.0090525,14.17369309,16.25641026,0,0,21.85534538,21.44170017,2.176091997,0.361900303,0.011562079,0.051997235,0.037813325,0.000554881,0.000458279,0
34,AL-SelSampling-BOLE-b0.25-,0.249712193,76.99693867,0,,,33.86870306,4.623337463,74.06932698,53.40413433,81.18436944,69.89791066,40.2871785,53.65728508,73.65149977,21.31680487,19.57129887,30.47423261,,,79.02880822,70.37230822,45.74223927,72.60748503,95.16547749,37.1400802,34.16030615,92.42068966,,,83.46454855,69.43357513,36.02023737,42.55800696,60.08992248,14.96680748,13.74367622,18.41025641,0,0,22.251671,21.39802621,2.135029357,0.347312914,0.011925286,0.050341734,0.038151483,0.00041013,0.000494458,1.21E-05
35,AL-FixedUncertainty-DACC-b0.25-,0.002073683,50.65067562,0,,,11.17927097,9.450237566,46.85414031,5.199579949,35.88608577,56.3210567,0.097803915,1.487817223,4.983224579,2.762446149,,,,,57.95433871,43.74262586,59.91926703,61.68178634,99.82940693,3.13337342,,,,,26.54192517,79.31540468,0.048945019,0.798130095,2.613953488,2.474351237,0,0,0,0,19.48918837,74.74408647,0.001696699,0.114493754,3.63E-05,0.152874047,0,0,0,0
36,AL-VarUncertainty-DACC-b0.25-,0.250452062,67.70051044,0,,,31.85073762,4.636913623,74.21990567,53.35404773,81.46505062,70.09142073,34.49651915,54.87530425,66.70784397,11.47904026,18.7635463,29.44789299,,,78.43647615,70.94062123,45.27453417,74.80925706,95.19445161,12.08416959,34.82319653,83.870607,,,84.7369599,69.26241204,27.86467843,43.33048287,51.37674419,10.94146047,12.8920742,18.1025641,0,0,23.39991539,20.76614276,1.681719591,0.315415322,0.010194001,0.159314792,0.03473367,0.001109763,0.000349739,0.000241197
37,AL-RandVarUncertainty-DACC-b0.25-,0.250452423,69.14167712,0,,,32.73122076,4.612661296,74.211705,53.48226333,81.66753281,69.91650185,34.24052647,56.23664534,68.90472272,10.27461331,18.40627254,34.82817436,,,78.68257473,71.07214352,42.71095181,70.86329515,94.59964671,11.34281413,31.42872905,88.56425325,,,84.88794925,68.79800586,28.57704403,46.61706858,54.20775194,9.402534701,13.02698145,21.79487179,0,0,23.10158941,20.49553548,1.914066012,0.41428677,0.012082676,0.147303346,0.040796362,0.000747884,0.000205019,0
38,AL-SelSampling-DACC-b0.25-,0.250444946,68.61959271,0,,,32.52923709,4.678280299,73.84233738,52.82304964,81.29642648,69.5663449,34.11258114,55.4880352,68.05348241,10.8091936,18.70942264,34.4252764,,,78.44199615,70.56069036,42.40520422,70.65339756,94.48133364,12.24015481,30.96362857,86.2840581,,,84.36653783,68.5997329,28.53621424,45.68781711,53.19069767,9.686179843,13.53288364,21.69230769,0,0,23.29002236,20.94860843,1.935414026,0.410467437,0.012167424,0.139521282,0.044057173,0.000940886,0.001398956,0.000205017
39,AL-FixedUncertainty-ARF-b0.25-,0.228850544,74.83173804,0,,,21.39204151,5.04428304,69.30890098,49.49223905,77.34956154,65.5011901,9.362911683,36.52992348,4.557688655,24.68285079,2.023500463,21.22990973,,,76.63776042,73.87362862,66.46922006,79.85597644,42.11531054,80.42778706,26.5907277,82.62580157,,,83.73386984,62.42607569,5.063146683,32.28208198,2.421705426,14.68316234,1.053962901,12.25641026,0,0,25.34566991,16.2332202,0.123694397,8.716396028,0.012506417,0.006839515,0.003828433,0.000675508,0,0
40,AL-VarUncertainty-ARF-b0.25-,0.250451941,78.08692435,0,,,25.98581526,3.91024949,78.96133748,60.90380709,86.17579061,75.80662941,11.42854634,43.30728421,6.228846496,55.53041406,3.073647643,22.22397002,,,81.64791066,75.31894996,73.13906052,89.97759581,57.50583635,93.95947226,36.27570473,78.18322267,,,91.23609594,76.30147306,6.200294177,28.5411322,3.296124031,39.5956548,1.610455312,13.07692308,0,0,20.59962531,18.30095556,0.113881401,0.068587832,0.009394946,0.005111511,0.003961281,0.000916761,6.03E-05,0
